query Pat5 Pat20
1 0.2 0.1
10 0.8 0.75
11 0.6 0.35
12 0.4 0.1
13 0.8 0.3
14 0.0 0.05
15 0.2 0.25
16 0.4 0.1
17 0.2 0.1
18 0.2 0.3
19 0.2 0.3
2 0.0 0.0
20 0.2 0.05
21 0.2 0.2
22 0.4 0.2
23 0.8 0.2
24 0.4 0.15
25 0.4 0.5
26 0.0 0.25
27 0.8 0.6
28 0.2 0.05
29 1.0 0.6
3 0.0 0.0
30 0.4 0.2
31 0.0 0.05
32 0.2 0.05
33 0.2 0.05
36 0.4 0.4
37 0.4 0.1
38 0.8 0.45
39 0.4 0.3
4 0.6 0.15
40 0.8 0.35
42 1.0 0.35
43 0.4 0.4
44 0.4 0.2
45 0.8 0.4
48 0.8 0.4
49 0.0 0.15
5 0.4 0.2
57 0.0 0.0
58 0.8 0.65
59 0.4 0.25
6 0.2 0.15
60 1.0 0.65
61 0.6 0.4
62 0.4 0.25
63 1.0 0.4
64 0.0 0.0
7 0.4 0.25
8 0.2 0.15
9 0.6 0.35
